Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-30;null;null;null;null;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;null;null;null;null;
2016-06-01;null;null;null;null;null;null;null;null;null;null;
2016-06-02;null;null;null;null;null;null;null;null;null;null;
2016-06-03;null;null;null;null;null;null;null;46;7.1;null;
2016-06-04;0;914.320833;6.420833;13;7.6;1.9;92.791667;73;5.4;1.158333;
2016-06-05;0;914.020833;9.854167;13;10.3875;6.3;96.708333;82;4.2;.9875;
2016-06-06;0;913.770833;8.266667;11.2;8.720833;7.9;97.041667;91;4.9;1.1;
2016-06-07;.8;916.095833;3.645833;13.6;7.904167;2.4;77.291667;42;7.7;1.254167;
2016-06-08;1;918.116667;.816667;14.4;6.5875;0;69.666667;35;7.3;1.441667;
2016-06-09;0;920.320833;-2.345833;13.6;4.2375;-3.3;67.625;28;6.1;1.2625;
2016-06-10;0;919.291667;-2.075;14.8;7.0125;-1;57.083333;26;11.1;1.254167;
2016-06-11;0;921.1;-3.029167;11.1;3.7625;-3.6;64.375;30;7.3;1.2625;
2016-06-12;0;923.691667;-3.4125;14;4.616667;-2.4;59.666667;29;5.6;1.279167;
2016-06-13;0;927.470833;1.204167;15.1;5.920833;-1.5;73.916667;49;7.9;1.554167;
2016-06-14;0;927.204167;6.1;14.6;9.633333;2.5;79.541667;62;9.4;2.075;
2016-06-15;0;924.566667;8.695833;18.7;11.3;5.5;85.416667;55;5.1;1.145833;
2016-06-16;0;921.829167;11.179167;19.5;13.691667;8.7;85.791667;60;5.5;.929167;
2016-06-17;16;919.308333;12.975;15.3;13.208333;12.7;98.458333;94;3.1;.845833;
2016-06-18;4.4;921.291667;8.845833;11.7;9.195833;8.1;97.875;95;4;.925;
2016-06-19;.2;922.070833;7.995833;12.8;9.054167;7.2;93.333333;71;5.2;.9875;
2016-06-20;0;923.2375;2.775;12.7;7.429167;2.9;74.666667;27;5.9;1.595833;
2016-06-21;0;925.854167;5.25;11.6;8.0625;5.3;82.666667;64;6.5;1.554167;
2016-06-22;6.6;923.416667;9.879167;13.2;10.283333;8.1;97.416667;86;5.3;1.170833;
2016-06-23;3.2;921.025;9.275;15.6;11.416667;6.8;87.208333;67;8.2;1.1625;
2016-06-24;0;923.3875;8.6;16.7;10.4;6.7;89.791667;57;6.3;1.225;
2016-06-25;0;925.679167;9.425;15.7;11.1625;5.9;89.375;72;9.4;1.795833;
2016-06-26;0;926.216667;10.570833;15.8;12.570833;11.6;87.958333;70;9.5;2.083333;
2016-06-27;0;925.995833;8.681818;17.8;10.7125;6.1;91.090909;60;8.5;1.3875;
2016-06-28;0;924.183333;9.795833;19.2;11.991667;6.3;87.833333;58;7.6;1.245833;
2016-06-29;0;922.879167;10.670833;21.4;13.4;7.9;85.708333;46;6;.995833;
2016-06-30;0;923.954167;10.947826;22.3;13.816667;8.7;86;47;6;1.241667;
2016-07-01;0;923.995833;11.583333;22.4;15.020833;9.4;82.208333;49;7.9;1.266667;
2016-07-02;0;923.6125;10.358333;23.1;14.8875;9.1;77.291667;45;8.7;1.283333;
2016-07-03;0;923.154167;11.445833;23.7;15.020833;9.7;82.291667;43;9.8;1.525;
2016-07-04;0;921.9875;11.904167;23.6;15.425;9.9;82.5;46;10.1;1.679167;
2016-07-05;0;919.6125;12.740909;23;16.004167;11.2;83.318182;49;9.3;1.5;
2016-07-06;0;913.583333;10.779167;17.4;14.916667;14.8;76.875;58;16;3.495833;
2016-07-07;.4;916.875;2.816667;16.3;9.675;3.4;64.041667;42;13.4;1.6375;
2016-07-08;0;922.479167;4.118182;17.1;8.654167;2.3;79.545455;37;5.1;1.258333;
2016-07-09;0;920.308333;6.608333;16.3;10.025;5;81.25;49;6.4;1.6125;
2016-07-10;0;915.879167;11.254545;23.7;15.070833;9.1;81.227273;53;7.1;1.433333;
2016-07-11;0;913.754167;12.908333;22;15.5125;12.1;85.5;60;7.4;1.420833;
2016-07-12;0;912.7375;13.270833;24.3;17.370833;13;79.375;42;9.4;1.545833;
2016-07-13;1;917.470833;12.991667;14.8;13.133333;11.1;98.958333;92;7.1;1.479167;
2016-07-14;40.8;915.95;13.583333;14.3;13.695833;12.3;98.958333;98;7.2;1.491667;
2016-07-15;29;912.179167;14.208696;20.6;15.733333;12.9;91.391304;70;7.8;1.570833;
2016-07-16;32.2;912.5;8.25;14.5;10.8875;9.4;85.291667;54;9.5;1.833333;
2016-07-17;.2;916.4375;-2.195833;11.6;5.7875;2.3;58.208333;35;12.3;1.591667;
2016-07-18;0;920.695833;1.466667;13.3;4.675;-1.5;81.5;51;4.6;1.145833;
2016-07-19;0;921.279167;4.733333;12.4;6.825;3.2;87.458333;62;5.5;1.254167;
2016-07-20;0;920.995833;4.6375;13.6;7.825;2.6;82.708333;40;4.8;1.270833;
2016-07-21;0;920.854167;6.608333;14.2;8.670833;6;87.791667;63;5.5;1.1375;
2016-07-22;0;921.895833;7.025;15.7;9.15;5.5;87.833333;59;5.6;1.1375;
2016-07-23;0;920.645833;7.7125;15.5;9.966667;6.4;86.791667;64;8.8;2.529167;
2016-07-24;0;919.9875;10;22.5;14.35;7.6;76.869565;51;6.8;1.333333;
2016-07-25;0;921.179167;10.2875;20.1;13.15;8;84.708333;56;7;1.4375;
2016-07-26;0;915.445833;11.083333;23.6;15.8625;9;75.833333;44;16.6;2.170833;
2016-07-27;2.2;916.579167;4.695833;16.1;10.854167;5.8;66.75;46;15;2.904167;
2016-07-28;0;922.445833;5.4125;13.1;7.795833;2.4;85.708333;65;8.8;1.641667;
2016-07-29;0;923.891667;7.291667;11.4;8.241667;4.8;94.083333;81;4.7;1.016667;
2016-07-30;0;923.741667;9.7625;13.1;10.775;8.5;93.666667;85;8.4;2.654167;
2016-07-31;0;922.429167;11.541667;19.5;14.116667;10.5;85.25;63;8.3;2.158333;
2016-08-01;0;918.416667;11.521739;24.3;17.595833;12.1;69.608696;43;7.1;1.458333;
2016-08-02;.2;922.708333;9.025;17.9;12.058333;9.8;82.125;63;7.5;1.670833;
2016-08-03;7.4;924.2625;9.9875;12.3;10.508333;9;96.416667;82;4.7;1.058333;
2016-08-04;1.8;922.779167;12.425;14.1;12.529167;10.3;99;99;9;2.308333;
2016-08-05;.4;919.725;13.969565;21.1;15.279167;12;92.565217;72;6.6;1.75;
2016-08-06;0;916.558333;13.36087;25.3;17.829167;12.4;77.304348;47;9.7;1.75;
2016-08-07;6.8;918.05;8.7625;14.1;11.083333;9.4;86;62;13.6;2.070833;
2016-08-08;.8;919.870833;5.3;8.8;7.716667;6;85.791667;59;7.5;1.233333;
2016-08-09;5.2;919.45;10.25;16.7;11.441667;6.3;93.166667;58;5.5;.995833;
2016-08-10;0;920.841667;5.45;13.3;9.216667;3.1;78.625;48;12.5;2.4625;
2016-08-11;0;921.879167;5.933333;14.3;9.4;7.4;79.583333;60;14.4;3.170833;
2016-08-12;0;921.8;6.045833;18.2;9.216667;2.6;82.666667;50;6.4;1.345833;
2016-08-13;0;917.458333;6.808333;20.6;11.7875;4.8;75.875;30;9.1;1.858333;
2016-08-14;.2;915.308333;8.704762;23.4;16.725;8.5;62.380952;34;5.6;1.291667;
2016-08-15;13.2;912.291667;10.281818;17.4;13.8625;9.9;80.818182;61;16.7;1.829167;
2016-08-16;0;912.879167;10.779167;23.6;15.333333;8.5;76.75;47;6.4;1.445833;
2016-08-17;0;913.25;13.829167;23.4;16.395833;11.7;85.625;60;10.4;1.829167;
2016-08-18;2.8;919.541667;11.052174;16.9;12.429167;9.1;92.521739;71;5.4;1.279167;
2016-08-19;15.8;919.383333;9.858333;12;10.383333;7.5;96.666667;78;3.6;null;
2016-08-20;38.8;912.925;12.579167;15.3;13.2;10.6;96.041667;83;null;null;
2016-08-21;12.6;916.058333;6.404167;12.9;8.270833;7.6;88.166667;75;null;null;
2016-08-22;1.4;923.145833;2.045833;14.4;6.283333;-.6;77.583333;40;null;null;
2016-08-23;.2;923.145833;2.5625;17.7;8.320833;.6;72.625;31;null;null;
2016-08-24;0;923.279167;6.820833;18.1;9.516667;2.2;85.166667;56;null;null;
2016-08-25;0;921.2125;10.554167;21.8;13.904167;9.9;81.958333;50;null;null;
2016-08-26;0;919.216667;13.3125;24.1;15.791667;8.5;86.75;62;null;null;
2016-08-27;.2;917.966667;13.108333;27;17.079167;11;81.416667;26;null;null;
2016-08-28;0;915.454167;8.785714;27.9;19.866667;10.6;49.333333;28;null;null;
2016-08-29;0;917.5;12.126087;23.9;16.6875;11.2;75.652174;48;null;null;
2016-08-30;13.2;915.595833;15.713043;20.2;16.775;14.8;93.695652;79;null;null;
2016-08-31;.8;913.875;11.782609;19.3;15.170833;13.1;81.695652;56;null;null;
2016-09-01;0;920.608333;10.93913;19.5;12.941667;7.3;89.391304;60;null;null;
2016-09-02;.2;923.433333;11.4875;15.2;12.4625;11.1;93.875;79;null;null;
2016-09-03;.2;923.029167;11.595238;17.4;12.7375;7.7;96.190476;80;null;null;
2016-09-04;42;920.220833;12.9875;15.8;13.75;12.8;95.25;85;null;null;
2016-09-05;12;920.445833;12.791667;19.3;13.875;9.7;93.458333;73;null;null;
2016-09-06;20;916.016667;9.427273;17.4;13.5625;12.5;79.818182;48;null;null;
2016-09-07;0;915.958333;3.454167;14.4;9.295833;6;67.125;51;null;null;
2016-09-08;0;918.5625;7.608333;19.9;12.791667;6.7;72.083333;45;null;null;
2016-09-09;0;922.575;9.821739;19.8;13.2125;9.2;82.173913;55;null;null;
2016-09-10;0;923.95;10.586364;21.2;14.295833;9.7;80.863636;53;null;null;
2016-09-11;0;920.95;12.482609;23.3;16.183333;11.6;80.869565;52;null;null;
2016-09-12;3;915.533333;15;16;15.1625;14.2;98.666667;92;null;null;
2016-09-13;3.6;908.270833;13.234783;20.7;17.025;15;80.26087;42;null;null;
2016-09-14;.8;911.070833;3.2625;19.5;13.45;8.8;53.708333;26;null;null;
2016-09-15;0;916.4;6.345833;20.4;12.5625;5.9;67.583333;39;null;null;
2016-09-16;0;920.370833;9.708333;20.5;12.816667;8.8;83.875;43;null;null;
2016-09-17;0;918.391667;11.969565;21.6;14.4125;10.9;87.347826;57;null;null;
2016-09-18;2;916.7375;14.429167;20.9;16.033333;13.7;90.583333;69;null;null;
2016-09-19;3.6;916.875;12.169565;18.8;13.725;11.6;91.26087;75;null;null;
2016-09-20;.2;919.1875;4.86087;17.6;10.945833;3.2;69.956522;35;null;null;
2016-09-21;.4;922.6125;10.2;17.9;12.5625;9.8;87.863636;57;null;null;
2016-09-22;1.8;921.875;10.43913;19.4;12.6875;9.6;88.695652;55;null;null;
2016-09-23;.4;920.079167;10.830435;23.6;15.1875;10.7;78.26087;46;null;null;
2016-09-24;0;919.325;10.820833;19.4;12.104167;10.3;92.208333;59;null;null;
2016-09-25;0;918.925;7.429167;15.3;10.791667;5;80.458333;53;null;null;
2016-09-26;0;918.483333;8.934783;20;12.1375;7.3;83.304348;47;null;null;
2016-09-27;0;919.779167;9.508333;19.8;12.091667;7.3;86.375;55;null;null;
2016-09-28;0;918.441667;10.579167;24.6;15.220833;8.8;77.166667;42;null;null;
2016-09-29;0;917.379167;6.4;18.7;14.216667;10.9;62.5;31;null;null;
2016-09-30;0;919.3375;6.754167;13.7;10.179167;7.9;79.833333;58;null;null;
2016-10-01;1.8;923.183333;10.2375;13.8;10.841667;9.5;96.208333;86;null;null;
2016-10-02;4;923.5875;10.304348;17.5;12.108333;10;90.695652;58;null;null;
2016-10-03;.6;919.520833;11.941667;16.1;12.533333;10.2;96.25;90;null;null;
2016-10-04;27.8;917.095833;12.417391;18;13.325;12.3;95.391304;74;null;null;
2016-10-05;3;916.579167;11.0375;14.6;11.7;9.6;95.833333;82;null;null;
2016-10-06;25.2;910.833333;10.829167;12.2;11.2375;10.5;97.416667;93;null;null;
2016-10-07;8;914.075;10.933333;16.6;12.045833;10;93.291667;63;null;null;
2016-10-08;1;915.333333;12.0625;21.7;14.275;11.2;88.041667;52;null;null;
2016-10-09;.2;919.970833;9.741667;19.2;11.8;6;88.291667;56;null;null;
2016-10-10;.2;922.6875;10.354167;19.7;13.175;10.1;85.208333;43;null;null;
2016-10-11;0;919.75;11.6625;12.9;11.820833;10.9;98.75;95;null;null;
2016-10-12;4;917.8;14.245455;18.8;15.266667;11.7;94.318182;76;null;null;
2016-10-13;21.8;913.025;16.065217;21.3;17.183333;14.7;93.304348;73;null;null;
2016-10-14;2.2;917.316667;15.554167;22.8;18.129167;13.6;85.458333;67;null;null;
2016-10-15;0;918.25;15.7;21.1;17.383333;14.7;89.238095;68;null;null;
2016-10-16;2.8;914.558333;null;28.4;19.783333;15.7;81.9375;61;null;null;
2016-10-17;5.4;915.704167;16.5875;25.7;18.695833;16.3;88.541667;64;null;null;
2016-10-18;31;915.234783;16.427273;23.7;19.004348;15.7;84.863636;65;null;null;
2016-10-19;4.4;913.566667;17.45;24.2;18.891667;16.8;91.333333;74;null;null;
2016-10-20;35;912.095833;18.7375;29.6;21.020833;16.9;87.833333;53;null;null;
2016-10-21;3.4;916.320833;12.759091;18.4;13.5125;12.7;96.590909;91;null;null;
2016-10-22;0;920.2375;11.356522;15.5;12.545833;10.4;93.26087;81;null;null;
2016-10-23;.2;920.2625;13.65;20.6;15.179167;11.7;91;73;null;null;
2016-10-24;.2;917.425;17.316667;23.1;18.125;14.9;90.944444;75;null;null;
2016-10-25;6.4;917.491667;16.126087;17.5;16.283333;16.1;98.652174;93;null;null;
2016-10-26;35;913.545833;16.573913;18.2;16.645833;14.8;99.347826;91;null;null;
2016-10-27;7.2;906.008333;11.920833;20.9;16.8625;15.5;75.291667;41;null;null;
2016-10-28;0;913.970833;4.283333;19.2;12.0375;6.7;60.041667;40;null;null;
2016-10-29;0;922.958333;7.395833;19.9;12.858333;7.4;70.833333;46;null;null;
2016-10-30;0;922.4375;9.866667;20;13.504167;10.1;80.208333;54;null;null;
2016-10-31;1;917.816667;13.55;17.4;14.154167;11.9;97;84;null;null;
2016-11-01;2;914.2125;17.004167;25.4;18.4375;13.8;92.375;67;null;null;
2016-11-02;0;912.7625;16.486957;25.4;19.904167;17.2;81.913043;46;null;null;
